negative_keyword;match_type;category;reason;date_added
modelka;BROAD;B2C wizerunkowy (glamour);RED TEAM W-05: to jest wektor, ktory zdiagnozowalem przy odrzucaniu 'sesja zdjeciowa poznan', a nie przenioslem na liste. SERP na 'sesja wizerunkowa' pokazuje reklame kierowana do kobiet.;2026-09-20
model;BROAD;B2C wizerunkowy (glamour);RED TEAM W-05: to jest wektor, ktory zdiagnozowalem przy odrzucaniu 'sesja zdjeciowa poznan', a nie przenioslem na liste. SERP na 'sesja wizerunkowa' pokazuje reklame kierowana do kobiet.;2026-09-20
modeling;BROAD;B2C wizerunkowy (glamour);RED TEAM W-05: to jest wektor, ktory zdiagnozowalem przy odrzucaniu 'sesja zdjeciowa poznan', a nie przenioslem na liste. SERP na 'sesja wizerunkowa' pokazuje reklame kierowana do kobiet.;2026-09-20
casting;BROAD;B2C wizerunkowy (glamour);RED TEAM W-05: to jest wektor, ktory zdiagnozowalem przy odrzucaniu 'sesja zdjeciowa poznan', a nie przenioslem na liste. SERP na 'sesja wizerunkowa' pokazuje reklame kierowana do kobiet.;2026-09-20
agencja modelek;BROAD;B2C wizerunkowy (glamour);RED TEAM W-05: to jest wektor, ktory zdiagnozowalem przy odrzucaniu 'sesja zdjeciowa poznan', a nie przenioslem na liste. SERP na 'sesja wizerunkowa' pokazuje reklame kierowana do kobiet.;2026-09-20
portfolio modelki;BROAD;B2C wizerunkowy (glamour);RED TEAM W-05: to jest wektor, ktory zdiagnozowalem przy odrzucaniu 'sesja zdjeciowa poznan', a nie przenioslem na liste. SERP na 'sesja wizerunkowa' pokazuje reklame kierowana do kobiet.;2026-09-20
plener;BROAD;B2C wizerunkowy (glamour);RED TEAM W-05: to jest wektor, ktory zdiagnozowalem przy odrzucaniu 'sesja zdjeciowa poznan', a nie przenioslem na liste. SERP na 'sesja wizerunkowa' pokazuje reklame kierowana do kobiet.;2026-09-20
plenerowa;BROAD;B2C wizerunkowy (glamour);RED TEAM W-05: to jest wektor, ktory zdiagnozowalem przy odrzucaniu 'sesja zdjeciowa poznan', a nie przenioslem na liste. SERP na 'sesja wizerunkowa' pokazuje reklame kierowana do kobiet.;2026-09-20
paszport;BROAD;dokumenty;Fotografia dokumentowa to inny biznes: niska cena, klient jednorazowy.;2026-09-20
paszportu;BROAD;dokumenty;Fotografia dokumentowa to inny biznes: niska cena, klient jednorazowy.;2026-09-20
dowód;BROAD;dokumenty;Fotografia dokumentowa to inny biznes: niska cena, klient jednorazowy.;2026-09-20
dowod;BROAD;dokumenty;Fotografia dokumentowa to inny biznes: niska cena, klient jednorazowy.;2026-09-20
dowodu;BROAD;dokumenty;Fotografia dokumentowa to inny biznes: niska cena, klient jednorazowy.;2026-09-20
dowodowe;BROAD;dokumenty;Fotografia dokumentowa to inny biznes: niska cena, klient jednorazowy.;2026-09-20
legitymacja;BROAD;dokumenty;Fotografia dokumentowa to inny biznes: niska cena, klient jednorazowy.;2026-09-20
legitymacji;BROAD;dokumenty;Fotografia dokumentowa to inny biznes: niska cena, klient jednorazowy.;2026-09-20
wiza;BROAD;dokumenty;Fotografia dokumentowa to inny biznes: niska cena, klient jednorazowy.;2026-09-20
wizy;BROAD;dokumenty;Fotografia dokumentowa to inny biznes: niska cena, klient jednorazowy.;2026-09-20
biometryczne;BROAD;dokumenty;Fotografia dokumentowa to inny biznes: niska cena, klient jednorazowy.;2026-09-20
do dokumentów;BROAD;dokumenty;Fotografia dokumentowa to inny biznes: niska cena, klient jednorazowy.;2026-09-20
do dokumentow;BROAD;dokumenty;Fotografia dokumentowa to inny biznes: niska cena, klient jednorazowy.;2026-09-20
fotokod;BROAD;dokumenty;Fotografia dokumentowa to inny biznes: niska cena, klient jednorazowy.;2026-09-20
prawo jazdy;BROAD;dokumenty;Fotografia dokumentowa to inny biznes: niska cena, klient jednorazowy.;2026-09-20
broń;BROAD;dokumenty;Fotografia dokumentowa to inny biznes: niska cena, klient jednorazowy.;2026-09-20
bron;BROAD;dokumenty;Fotografia dokumentowa to inny biznes: niska cena, klient jednorazowy.;2026-09-20
orzeczenie;BROAD;dokumenty;Fotografia dokumentowa to inny biznes: niska cena, klient jednorazowy.;2026-09-20
cv;BROAD;CV i rekrutacja indywidualna;Przy 5 zl/dzien klient jednorazowy i cenowy. Uwaga: 'cena' NIE jest wykluczona.;2026-09-20
życiorys;BROAD;CV i rekrutacja indywidualna;Przy 5 zl/dzien klient jednorazowy i cenowy. Uwaga: 'cena' NIE jest wykluczona.;2026-09-20
zyciorys;BROAD;CV i rekrutacja indywidualna;Przy 5 zl/dzien klient jednorazowy i cenowy. Uwaga: 'cena' NIE jest wykluczona.;2026-09-20
do cv;BROAD;CV i rekrutacja indywidualna;Przy 5 zl/dzien klient jednorazowy i cenowy. Uwaga: 'cena' NIE jest wykluczona.;2026-09-20
zdjęcie do cv;BROAD;CV i rekrutacja indywidualna;Przy 5 zl/dzien klient jednorazowy i cenowy. Uwaga: 'cena' NIE jest wykluczona.;2026-09-20
zdjecie do cv;BROAD;CV i rekrutacja indywidualna;Przy 5 zl/dzien klient jednorazowy i cenowy. Uwaga: 'cena' NIE jest wykluczona.;2026-09-20
rekrutacja;BROAD;CV i rekrutacja indywidualna;Przy 5 zl/dzien klient jednorazowy i cenowy. Uwaga: 'cena' NIE jest wykluczona.;2026-09-20
rekruter;BROAD;CV i rekrutacja indywidualna;Przy 5 zl/dzien klient jednorazowy i cenowy. Uwaga: 'cena' NIE jest wykluczona.;2026-09-20
tani;BROAD;tanio i amatorsko;Filtr budzetowy. 'cena' i 'cennik' zostaja dozwolone, patrz strategy.md.;2026-09-20
tania;BROAD;tanio i amatorsko;Filtr budzetowy. 'cena' i 'cennik' zostaja dozwolone, patrz strategy.md.;2026-09-20
tanie;BROAD;tanio i amatorsko;Filtr budzetowy. 'cena' i 'cennik' zostaja dozwolone, patrz strategy.md.;2026-09-20
tanio;BROAD;tanio i amatorsko;Filtr budzetowy. 'cena' i 'cennik' zostaja dozwolone, patrz strategy.md.;2026-09-20
najtańszy;BROAD;tanio i amatorsko;Filtr budzetowy. 'cena' i 'cennik' zostaja dozwolone, patrz strategy.md.;2026-09-20
najtanszy;BROAD;tanio i amatorsko;Filtr budzetowy. 'cena' i 'cennik' zostaja dozwolone, patrz strategy.md.;2026-09-20
najtansze;BROAD;tanio i amatorsko;Filtr budzetowy. 'cena' i 'cennik' zostaja dozwolone, patrz strategy.md.;2026-09-20
promocja;BROAD;tanio i amatorsko;Filtr budzetowy. 'cena' i 'cennik' zostaja dozwolone, patrz strategy.md.;2026-09-20
rabat;BROAD;tanio i amatorsko;Filtr budzetowy. 'cena' i 'cennik' zostaja dozwolone, patrz strategy.md.;2026-09-20
okazja;BROAD;tanio i amatorsko;Filtr budzetowy. 'cena' i 'cennik' zostaja dozwolone, patrz strategy.md.;2026-09-20
amator;BROAD;tanio i amatorsko;Filtr budzetowy. 'cena' i 'cennik' zostaja dozwolone, patrz strategy.md.;2026-09-20
amatorska;BROAD;tanio i amatorsko;Filtr budzetowy. 'cena' i 'cennik' zostaja dozwolone, patrz strategy.md.;2026-09-20
amatorskie;BROAD;tanio i amatorsko;Filtr budzetowy. 'cena' i 'cennik' zostaja dozwolone, patrz strategy.md.;2026-09-20
hobby;BROAD;tanio i amatorsko;Filtr budzetowy. 'cena' i 'cennik' zostaja dozwolone, patrz strategy.md.;2026-09-20
hobbysta;BROAD;tanio i amatorsko;Filtr budzetowy. 'cena' i 'cennik' zostaja dozwolone, patrz strategy.md.;2026-09-20
początkujący;BROAD;tanio i amatorsko;Filtr budzetowy. 'cena' i 'cennik' zostaja dozwolone, patrz strategy.md.;2026-09-20
poczatkujacy;BROAD;tanio i amatorsko;Filtr budzetowy. 'cena' i 'cennik' zostaja dozwolone, patrz strategy.md.;2026-09-20
samouczek;BROAD;tanio i amatorsko;Filtr budzetowy. 'cena' i 'cennik' zostaja dozwolone, patrz strategy.md.;2026-09-20
fotobudka;BROAD;inne uslugi fotograficzne;Uslugi, ktorych Marcin nie swiadczy.;2026-09-20
fotobooth;BROAD;inne uslugi fotograficzne;Uslugi, ktorych Marcin nie swiadczy.;2026-09-20
fotolustro;BROAD;inne uslugi fotograficzne;Uslugi, ktorych Marcin nie swiadczy.;2026-09-20
drukowanie;BROAD;inne uslugi fotograficzne;Uslugi, ktorych Marcin nie swiadczy.;2026-09-20
druk zdjęć;BROAD;inne uslugi fotograficzne;Uslugi, ktorych Marcin nie swiadczy.;2026-09-20
druk zdjec;BROAD;inne uslugi fotograficzne;Uslugi, ktorych Marcin nie swiadczy.;2026-09-20
odbitki;BROAD;inne uslugi fotograficzne;Uslugi, ktorych Marcin nie swiadczy.;2026-09-20
wywoływanie;BROAD;inne uslugi fotograficzne;Uslugi, ktorych Marcin nie swiadczy.;2026-09-20
wywolywanie;BROAD;inne uslugi fotograficzne;Uslugi, ktorych Marcin nie swiadczy.;2026-09-20
skanowanie;BROAD;inne uslugi fotograficzne;Uslugi, ktorych Marcin nie swiadczy.;2026-09-20
skan;BROAD;inne uslugi fotograficzne;Uslugi, ktorych Marcin nie swiadczy.;2026-09-20
renowacja;BROAD;inne uslugi fotograficzne;Uslugi, ktorych Marcin nie swiadczy.;2026-09-20
koloryzacja;BROAD;inne uslugi fotograficzne;Uslugi, ktorych Marcin nie swiadczy.;2026-09-20
oprawa;BROAD;inne uslugi fotograficzne;Uslugi, ktorych Marcin nie swiadczy.;2026-09-20
ramki;BROAD;inne uslugi fotograficzne;Uslugi, ktorych Marcin nie swiadczy.;2026-09-20
ramka;BROAD;inne uslugi fotograficzne;Uslugi, ktorych Marcin nie swiadczy.;2026-09-20
fotoksiążka;BROAD;inne uslugi fotograficzne;Uslugi, ktorych Marcin nie swiadczy.;2026-09-20
fotoksiazka;BROAD;inne uslugi fotograficzne;Uslugi, ktorych Marcin nie swiadczy.;2026-09-20
kalendarz;BROAD;inne uslugi fotograficzne;Uslugi, ktorych Marcin nie swiadczy.;2026-09-20
album;BROAD;inne uslugi fotograficzne;Uslugi, ktorych Marcin nie swiadczy.;2026-09-20
kubek;BROAD;inne uslugi fotograficzne;Uslugi, ktorych Marcin nie swiadczy.;2026-09-20
koszulka;BROAD;inne uslugi fotograficzne;Uslugi, ktorych Marcin nie swiadczy.;2026-09-20
gadżety;BROAD;inne uslugi fotograficzne;Uslugi, ktorych Marcin nie swiadczy.;2026-09-20
gadzety;BROAD;inne uslugi fotograficzne;Uslugi, ktorych Marcin nie swiadczy.;2026-09-20
naprawa;BROAD;inne uslugi fotograficzne;Uslugi, ktorych Marcin nie swiadczy.;2026-09-20
serwis;BROAD;inne uslugi fotograficzne;Uslugi, ktorych Marcin nie swiadczy.;2026-09-20
namiot bezcieniowy;PHRASE;packshot DIY i marketplace;RED TEAM S-07: zapytania DIY i sprzetowe dopasowujace sie do PHRASE 'packshot', plus nawigacyjne do marketplace'ow z uslugami.;2026-09-20
stół bezcieniowy;PHRASE;packshot DIY i marketplace;RED TEAM S-07: zapytania DIY i sprzetowe dopasowujace sie do PHRASE 'packshot', plus nawigacyjne do marketplace'ow z uslugami.;2026-09-20
stol bezcieniowy;PHRASE;packshot DIY i marketplace;RED TEAM S-07: zapytania DIY i sprzetowe dopasowujace sie do PHRASE 'packshot', plus nawigacyjne do marketplace'ow z uslugami.;2026-09-20
lightbox;PHRASE;packshot DIY i marketplace;RED TEAM S-07: zapytania DIY i sprzetowe dopasowujace sie do PHRASE 'packshot', plus nawigacyjne do marketplace'ow z uslugami.;2026-09-20
zrobić samemu;PHRASE;packshot DIY i marketplace;RED TEAM S-07: zapytania DIY i sprzetowe dopasowujace sie do PHRASE 'packshot', plus nawigacyjne do marketplace'ow z uslugami.;2026-09-20
zrobic samemu;PHRASE;packshot DIY i marketplace;RED TEAM S-07: zapytania DIY i sprzetowe dopasowujace sie do PHRASE 'packshot', plus nawigacyjne do marketplace'ow z uslugami.;2026-09-20
w domu;PHRASE;packshot DIY i marketplace;RED TEAM S-07: zapytania DIY i sprzetowe dopasowujace sie do PHRASE 'packshot', plus nawigacyjne do marketplace'ow z uslugami.;2026-09-20
diy;PHRASE;packshot DIY i marketplace;RED TEAM S-07: zapytania DIY i sprzetowe dopasowujace sie do PHRASE 'packshot', plus nawigacyjne do marketplace'ow z uslugami.;2026-09-20
telefonem;PHRASE;packshot DIY i marketplace;RED TEAM S-07: zapytania DIY i sprzetowe dopasowujace sie do PHRASE 'packshot', plus nawigacyjne do marketplace'ow z uslugami.;2026-09-20
oferteo;PHRASE;packshot DIY i marketplace;RED TEAM S-07: zapytania DIY i sprzetowe dopasowujace sie do PHRASE 'packshot', plus nawigacyjne do marketplace'ow z uslugami.;2026-09-20
fixly;PHRASE;packshot DIY i marketplace;RED TEAM S-07: zapytania DIY i sprzetowe dopasowujace sie do PHRASE 'packshot', plus nawigacyjne do marketplace'ow z uslugami.;2026-09-20
useme;PHRASE;packshot DIY i marketplace;RED TEAM S-07: zapytania DIY i sprzetowe dopasowujace sie do PHRASE 'packshot', plus nawigacyjne do marketplace'ow z uslugami.;2026-09-20
fiverr;PHRASE;packshot DIY i marketplace;RED TEAM S-07: zapytania DIY i sprzetowe dopasowujace sie do PHRASE 'packshot', plus nawigacyjne do marketplace'ow z uslugami.;2026-09-20
upwork;PHRASE;packshot DIY i marketplace;RED TEAM S-07: zapytania DIY i sprzetowe dopasowujace sie do PHRASE 'packshot', plus nawigacyjne do marketplace'ow z uslugami.;2026-09-20
ranking;PHRASE;packshot DIY i marketplace;RED TEAM S-07: zapytania DIY i sprzetowe dopasowujace sie do PHRASE 'packshot', plus nawigacyjne do marketplace'ow z uslugami.;2026-09-20
porównanie;PHRASE;packshot DIY i marketplace;RED TEAM S-07: zapytania DIY i sprzetowe dopasowujace sie do PHRASE 'packshot', plus nawigacyjne do marketplace'ow z uslugami.;2026-09-20
porownanie;PHRASE;packshot DIY i marketplace;RED TEAM S-07: zapytania DIY i sprzetowe dopasowujace sie do PHRASE 'packshot', plus nawigacyjne do marketplace'ow z uslugami.;2026-09-20
opinie o;PHRASE;packshot DIY i marketplace;RED TEAM S-07: zapytania DIY i sprzetowe dopasowujace sie do PHRASE 'packshot', plus nawigacyjne do marketplace'ow z uslugami.;2026-09-20
pies;BROAD;zwierzeta i inne tematy;Poza oferta.;2026-09-20
psa;BROAD;zwierzeta i inne tematy;Poza oferta.;2026-09-20
kot;BROAD;zwierzeta i inne tematy;Poza oferta.;2026-09-20
kota;BROAD;zwierzeta i inne tematy;Poza oferta.;2026-09-20
zwierząt;BROAD;zwierzeta i inne tematy;Poza oferta.;2026-09-20
zwierzat;BROAD;zwierzeta i inne tematy;Poza oferta.;2026-09-20
zwierzęta;BROAD;zwierzeta i inne tematy;Poza oferta.;2026-09-20
zwierzeta;BROAD;zwierzeta i inne tematy;Poza oferta.;2026-09-20
koń;BROAD;zwierzeta i inne tematy;Poza oferta.;2026-09-20
konia;BROAD;zwierzeta i inne tematy;Poza oferta.;2026-09-20
koncert;BROAD;zwierzeta i inne tematy;Poza oferta.;2026-09-20
koncertowa;BROAD;zwierzeta i inne tematy;Poza oferta.;2026-09-20
przyroda;BROAD;zwierzeta i inne tematy;Poza oferta.;2026-09-20
krajobraz;BROAD;zwierzeta i inne tematy;Poza oferta.;2026-09-20
street;BROAD;zwierzeta i inne tematy;Poza oferta.;2026-09-20
uliczna;BROAD;zwierzeta i inne tematy;Poza oferta.;2026-09-20
astro;BROAD;zwierzeta i inne tematy;Poza oferta.;2026-09-20
warszawa;BROAD;miasta poza rynkiem;Geotargeting to Poznan i okolica. Te zapytania dotycza innego miasta.;2026-09-20
warszawie;BROAD;miasta poza rynkiem;Geotargeting to Poznan i okolica. Te zapytania dotycza innego miasta.;2026-09-20
kraków;BROAD;miasta poza rynkiem;Geotargeting to Poznan i okolica. Te zapytania dotycza innego miasta.;2026-09-20
krakow;BROAD;miasta poza rynkiem;Geotargeting to Poznan i okolica. Te zapytania dotycza innego miasta.;2026-09-20
krakowie;BROAD;miasta poza rynkiem;Geotargeting to Poznan i okolica. Te zapytania dotycza innego miasta.;2026-09-20
wrocław;BROAD;miasta poza rynkiem;Geotargeting to Poznan i okolica. Te zapytania dotycza innego miasta.;2026-09-20
wroclaw;BROAD;miasta poza rynkiem;Geotargeting to Poznan i okolica. Te zapytania dotycza innego miasta.;2026-09-20
wroclawiu;BROAD;miasta poza rynkiem;Geotargeting to Poznan i okolica. Te zapytania dotycza innego miasta.;2026-09-20
gdańsk;BROAD;miasta poza rynkiem;Geotargeting to Poznan i okolica. Te zapytania dotycza innego miasta.;2026-09-20
gdansk;BROAD;miasta poza rynkiem;Geotargeting to Poznan i okolica. Te zapytania dotycza innego miasta.;2026-09-20
gdyni;BROAD;miasta poza rynkiem;Geotargeting to Poznan i okolica. Te zapytania dotycza innego miasta.;2026-09-20
sopot;BROAD;miasta poza rynkiem;Geotargeting to Poznan i okolica. Te zapytania dotycza innego miasta.;2026-09-20
łódź;BROAD;miasta poza rynkiem;Geotargeting to Poznan i okolica. Te zapytania dotycza innego miasta.;2026-09-20
lodz;BROAD;miasta poza rynkiem;Geotargeting to Poznan i okolica. Te zapytania dotycza innego miasta.;2026-09-20
lodzi;BROAD;miasta poza rynkiem;Geotargeting to Poznan i okolica. Te zapytania dotycza innego miasta.;2026-09-20
katowice;BROAD;miasta poza rynkiem;Geotargeting to Poznan i okolica. Te zapytania dotycza innego miasta.;2026-09-20
szczecin;BROAD;miasta poza rynkiem;Geotargeting to Poznan i okolica. Te zapytania dotycza innego miasta.;2026-09-20
lublin;BROAD;miasta poza rynkiem;Geotargeting to Poznan i okolica. Te zapytania dotycza innego miasta.;2026-09-20
bydgoszcz;BROAD;miasta poza rynkiem;Geotargeting to Poznan i okolica. Te zapytania dotycza innego miasta.;2026-09-20
toruń;BROAD;miasta poza rynkiem;Geotargeting to Poznan i okolica. Te zapytania dotycza innego miasta.;2026-09-20
torun;BROAD;miasta poza rynkiem;Geotargeting to Poznan i okolica. Te zapytania dotycza innego miasta.;2026-09-20
białystok;BROAD;miasta poza rynkiem;Geotargeting to Poznan i okolica. Te zapytania dotycza innego miasta.;2026-09-20
bialystok;BROAD;miasta poza rynkiem;Geotargeting to Poznan i okolica. Te zapytania dotycza innego miasta.;2026-09-20
rzeszów;BROAD;miasta poza rynkiem;Geotargeting to Poznan i okolica. Te zapytania dotycza innego miasta.;2026-09-20
rzeszow;BROAD;miasta poza rynkiem;Geotargeting to Poznan i okolica. Te zapytania dotycza innego miasta.;2026-09-20
olsztyn;BROAD;miasta poza rynkiem;Geotargeting to Poznan i okolica. Te zapytania dotycza innego miasta.;2026-09-20
kielce;BROAD;miasta poza rynkiem;Geotargeting to Poznan i okolica. Te zapytania dotycza innego miasta.;2026-09-20
opole;BROAD;miasta poza rynkiem;Geotargeting to Poznan i okolica. Te zapytania dotycza innego miasta.;2026-09-20
zielona góra;BROAD;miasta poza rynkiem;Geotargeting to Poznan i okolica. Te zapytania dotycza innego miasta.;2026-09-20
zielona gora;BROAD;miasta poza rynkiem;Geotargeting to Poznan i okolica. Te zapytania dotycza innego miasta.;2026-09-20
gorzów;BROAD;miasta poza rynkiem;Geotargeting to Poznan i okolica. Te zapytania dotycza innego miasta.;2026-09-20
gorzow;BROAD;miasta poza rynkiem;Geotargeting to Poznan i okolica. Te zapytania dotycza innego miasta.;2026-09-20
kalisz;BROAD;miasta poza rynkiem;Geotargeting to Poznan i okolica. Te zapytania dotycza innego miasta.;2026-09-20
konin;BROAD;miasta poza rynkiem;Geotargeting to Poznan i okolica. Te zapytania dotycza innego miasta.;2026-09-20
leszno;BROAD;miasta poza rynkiem;Geotargeting to Poznan i okolica. Te zapytania dotycza innego miasta.;2026-09-20
piła;BROAD;miasta poza rynkiem;Geotargeting to Poznan i okolica. Te zapytania dotycza innego miasta.;2026-09-20
pila;BROAD;miasta poza rynkiem;Geotargeting to Poznan i okolica. Te zapytania dotycza innego miasta.;2026-09-20
gniezno;BROAD;miasta poza rynkiem;Geotargeting to Poznan i okolica. Te zapytania dotycza innego miasta.;2026-09-20
berlin;BROAD;miasta poza rynkiem;Geotargeting to Poznan i okolica. Te zapytania dotycza innego miasta.;2026-09-20
londyn;BROAD;miasta poza rynkiem;Geotargeting to Poznan i okolica. Te zapytania dotycza innego miasta.;2026-09-20
grunwald;BROAD;dzielnice i ulice Poznania;DOWOD Z KONTA: te zapytania pochlonely setki zlotych, dajac zero zapytan. Szukaja zakladu przy domu. RED TEAM W-06: gminy aglomeracji (Lubon, Swarzedz, Suchy Las, Skorzewo) USUNIETE z tej listy, bo to osobny rynek B2B, a nie przedmiescia.;2026-09-20
wilda;BROAD;dzielnice i ulice Poznania;DOWOD Z KONTA: te zapytania pochlonely setki zlotych, dajac zero zapytan. Szukaja zakladu przy domu. RED TEAM W-06: gminy aglomeracji (Lubon, Swarzedz, Suchy Las, Skorzewo) USUNIETE z tej listy, bo to osobny rynek B2B, a nie przedmiescia.;2026-09-20
jeżyce;BROAD;dzielnice i ulice Poznania;DOWOD Z KONTA: te zapytania pochlonely setki zlotych, dajac zero zapytan. Szukaja zakladu przy domu. RED TEAM W-06: gminy aglomeracji (Lubon, Swarzedz, Suchy Las, Skorzewo) USUNIETE z tej listy, bo to osobny rynek B2B, a nie przedmiescia.;2026-09-20
jezyce;BROAD;dzielnice i ulice Poznania;DOWOD Z KONTA: te zapytania pochlonely setki zlotych, dajac zero zapytan. Szukaja zakladu przy domu. RED TEAM W-06: gminy aglomeracji (Lubon, Swarzedz, Suchy Las, Skorzewo) USUNIETE z tej listy, bo to osobny rynek B2B, a nie przedmiescia.;2026-09-20
rataje;BROAD;dzielnice i ulice Poznania;DOWOD Z KONTA: te zapytania pochlonely setki zlotych, dajac zero zapytan. Szukaja zakladu przy domu. RED TEAM W-06: gminy aglomeracji (Lubon, Swarzedz, Suchy Las, Skorzewo) USUNIETE z tej listy, bo to osobny rynek B2B, a nie przedmiescia.;2026-09-20
piątkowo;BROAD;dzielnice i ulice Poznania;DOWOD Z KONTA: te zapytania pochlonely setki zlotych, dajac zero zapytan. Szukaja zakladu przy domu. RED TEAM W-06: gminy aglomeracji (Lubon, Swarzedz, Suchy Las, Skorzewo) USUNIETE z tej listy, bo to osobny rynek B2B, a nie przedmiescia.;2026-09-20
piatkowo;BROAD;dzielnice i ulice Poznania;DOWOD Z KONTA: te zapytania pochlonely setki zlotych, dajac zero zapytan. Szukaja zakladu przy domu. RED TEAM W-06: gminy aglomeracji (Lubon, Swarzedz, Suchy Las, Skorzewo) USUNIETE z tej listy, bo to osobny rynek B2B, a nie przedmiescia.;2026-09-20
winogrady;BROAD;dzielnice i ulice Poznania;DOWOD Z KONTA: te zapytania pochlonely setki zlotych, dajac zero zapytan. Szukaja zakladu przy domu. RED TEAM W-06: gminy aglomeracji (Lubon, Swarzedz, Suchy Las, Skorzewo) USUNIETE z tej listy, bo to osobny rynek B2B, a nie przedmiescia.;2026-09-20
dębiec;BROAD;dzielnice i ulice Poznania;DOWOD Z KONTA: te zapytania pochlonely setki zlotych, dajac zero zapytan. Szukaja zakladu przy domu. RED TEAM W-06: gminy aglomeracji (Lubon, Swarzedz, Suchy Las, Skorzewo) USUNIETE z tej listy, bo to osobny rynek B2B, a nie przedmiescia.;2026-09-20
debiec;BROAD;dzielnice i ulice Poznania;DOWOD Z KONTA: te zapytania pochlonely setki zlotych, dajac zero zapytan. Szukaja zakladu przy domu. RED TEAM W-06: gminy aglomeracji (Lubon, Swarzedz, Suchy Las, Skorzewo) USUNIETE z tej listy, bo to osobny rynek B2B, a nie przedmiescia.;2026-09-20
starołęka;BROAD;dzielnice i ulice Poznania;DOWOD Z KONTA: te zapytania pochlonely setki zlotych, dajac zero zapytan. Szukaja zakladu przy domu. RED TEAM W-06: gminy aglomeracji (Lubon, Swarzedz, Suchy Las, Skorzewo) USUNIETE z tej listy, bo to osobny rynek B2B, a nie przedmiescia.;2026-09-20
staroleka;BROAD;dzielnice i ulice Poznania;DOWOD Z KONTA: te zapytania pochlonely setki zlotych, dajac zero zapytan. Szukaja zakladu przy domu. RED TEAM W-06: gminy aglomeracji (Lubon, Swarzedz, Suchy Las, Skorzewo) USUNIETE z tej listy, bo to osobny rynek B2B, a nie przedmiescia.;2026-09-20
szczepankowo;BROAD;dzielnice i ulice Poznania;DOWOD Z KONTA: te zapytania pochlonely setki zlotych, dajac zero zapytan. Szukaja zakladu przy domu. RED TEAM W-06: gminy aglomeracji (Lubon, Swarzedz, Suchy Las, Skorzewo) USUNIETE z tej listy, bo to osobny rynek B2B, a nie przedmiescia.;2026-09-20
łazarz;BROAD;dzielnice i ulice Poznania;DOWOD Z KONTA: te zapytania pochlonely setki zlotych, dajac zero zapytan. Szukaja zakladu przy domu. RED TEAM W-06: gminy aglomeracji (Lubon, Swarzedz, Suchy Las, Skorzewo) USUNIETE z tej listy, bo to osobny rynek B2B, a nie przedmiescia.;2026-09-20
lazarz;BROAD;dzielnice i ulice Poznania;DOWOD Z KONTA: te zapytania pochlonely setki zlotych, dajac zero zapytan. Szukaja zakladu przy domu. RED TEAM W-06: gminy aglomeracji (Lubon, Swarzedz, Suchy Las, Skorzewo) USUNIETE z tej listy, bo to osobny rynek B2B, a nie przedmiescia.;2026-09-20
naramowice;BROAD;dzielnice i ulice Poznania;DOWOD Z KONTA: te zapytania pochlonely setki zlotych, dajac zero zapytan. Szukaja zakladu przy domu. RED TEAM W-06: gminy aglomeracji (Lubon, Swarzedz, Suchy Las, Skorzewo) USUNIETE z tej listy, bo to osobny rynek B2B, a nie przedmiescia.;2026-09-20
stare miasto;BROAD;dzielnice i ulice Poznania;DOWOD Z KONTA: te zapytania pochlonely setki zlotych, dajac zero zapytan. Szukaja zakladu przy domu. RED TEAM W-06: gminy aglomeracji (Lubon, Swarzedz, Suchy Las, Skorzewo) USUNIETE z tej listy, bo to osobny rynek B2B, a nie przedmiescia.;2026-09-20
górczyn;BROAD;dzielnice i ulice Poznania;DOWOD Z KONTA: te zapytania pochlonely setki zlotych, dajac zero zapytan. Szukaja zakladu przy domu. RED TEAM W-06: gminy aglomeracji (Lubon, Swarzedz, Suchy Las, Skorzewo) USUNIETE z tej listy, bo to osobny rynek B2B, a nie przedmiescia.;2026-09-20
gorczyn;BROAD;dzielnice i ulice Poznania;DOWOD Z KONTA: te zapytania pochlonely setki zlotych, dajac zero zapytan. Szukaja zakladu przy domu. RED TEAM W-06: gminy aglomeracji (Lubon, Swarzedz, Suchy Las, Skorzewo) USUNIETE z tej listy, bo to osobny rynek B2B, a nie przedmiescia.;2026-09-20
podolany;BROAD;dzielnice i ulice Poznania;DOWOD Z KONTA: te zapytania pochlonely setki zlotych, dajac zero zapytan. Szukaja zakladu przy domu. RED TEAM W-06: gminy aglomeracji (Lubon, Swarzedz, Suchy Las, Skorzewo) USUNIETE z tej listy, bo to osobny rynek B2B, a nie przedmiescia.;2026-09-20
sołacz;BROAD;dzielnice i ulice Poznania;DOWOD Z KONTA: te zapytania pochlonely setki zlotych, dajac zero zapytan. Szukaja zakladu przy domu. RED TEAM W-06: gminy aglomeracji (Lubon, Swarzedz, Suchy Las, Skorzewo) USUNIETE z tej listy, bo to osobny rynek B2B, a nie przedmiescia.;2026-09-20
solacz;BROAD;dzielnice i ulice Poznania;DOWOD Z KONTA: te zapytania pochlonely setki zlotych, dajac zero zapytan. Szukaja zakladu przy domu. RED TEAM W-06: gminy aglomeracji (Lubon, Swarzedz, Suchy Las, Skorzewo) USUNIETE z tej listy, bo to osobny rynek B2B, a nie przedmiescia.;2026-09-20
